,Yellow fever virus,Schilling Test,Transcription Factor AP-2,Transcription Factor AP-1,Macula Lutea,Hemorrhagic Septicemia,Electroplating,Arcanobacterium,Jaundice,Histamine H2 Antagonists,"Forefoot, Human",Afghan Campaign 2001-,Hereditary Sensory and Motor Neuropathy,X-Ray Therapy,Depth Perception,Death-Associated Protein Kinases,Fluid Therapy,New Guinea,"Abortion, Therapeutic",Thioglycolates,"Water Loss, Insensible",Carotid Stenosis,Test Taking Skills,Methylergonovine,Omalizumab,Zinc Finger E-box Binding Homeobox 2,Gadolinium,"Lidocaine, Prilocaine Drug Combination",gamma-Butyrobetaine Dioxygenase,Colonialism,DEAD Box Protein 58,Fitness Centers,Tetracycline Resistance,Enoximone,Inflammation Mediators,Retinal Dysplasia,Aldehyde Dehydrogenase,Management Information Systems,Serotonin 5-HT1 Receptor Antagonists,"Receptors, Tumor Necrosis Factor, Member 25",Dermatofibrosarcoma,Oxadiazoles,Lincomycin,E2F2 Transcription Factor,Cytochrome Reductases,Ku Autoantigen,Metacarpal Bones,Extracellular Signal-Regulated MAP Kinases,Mixed Connective Tissue Disease,"Liability, Legal",Olfactory Receptor Neurons,Phenprocoumon,Butanols,"Anemia, Refractory, with Excess of Blasts",Carbon Monoxide Poisoning,Trombiculidae,Financial Support,Animal Scales,"Influenza A Virus, H9N2 Subtype",Encainide,Cross-Cultural Comparison,E2F Transcription Factors,Medicare Part D,Disks Large Homolog 4 Protein,Desert Climate,Bibliometrics,Mouth Floor,Lacosamide,Computer Communication Networks,Pedophilia,Endotoxemia,"Gold Colloid, Radioactive",Salmonella enterica,MafB Transcription Factor,Sexual and Gender Minorities,Stents,"RNA, Satellite",Breath Holding,Urinary Tract Physiological Phenomena,"Psychotherapy, Rational-Emotive",Nitrazepam,Methemoglobin,"Enkephalin, Leucine",Bone Plates,Cefepime,Colombia,"Air Abrasion, Dental",Nitroblue Tetrazolium,Ficus,"N-Methyl-3,4-methylenedioxyamphetamine",Nephrons,Piebaldism
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1969,1,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1971,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
1974,1,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
1975,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
1981,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0
1982,1,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
1983,1,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0
1984,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,1,0
1985,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0
1986,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,2,0
1987,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,1,0
1989,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,6,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
1994,0,0,0,1,1,0,0,0,2,2,0,0,1,0,3,0,7,0,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,1,5,2,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0
1995,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,10,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,1,0,0,0,15,1,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,1,1,3,0,1,0,2,0,0,2,0
1996,1,0,0,3,2,0,0,0,16,1,0,0,0,0,3,0,4,1,1,0,1,4,0,2,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,0,0,1,2,0,0,8,2,0,0,0,2,0,2,0,0,0,7,0,0,0,2,1,0,0,8,0,1,1,0,0,0,5,0,0,2,0,0,2,0,0,0,2,0,0,0,0,1,0
1997,0,0,1,5,0,1,0,0,0,2,0,0,0,0,1,0,6,0,2,0,1,1,0,0,0,0,4,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0,1,0,0,0,4,0,0,0,11,0,0,0,0,1,0,0,17,0,1,0,0,0,0,11,0,0,0,0,0,2,1,3,1,2,0,0,0,1,3,1
1998,0,0,1,5,3,1,0,0,11,4,0,0,1,5,1,0,4,2,2,1,1,3,0,1,0,0,2,1,0,0,0,0,0,1,3,0,2,3,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,1,2,1,2,0,0,0,6,0,0,0,0,0,2,0,17,0,1,0,1,0,0,14,0,0,4,0,1,1,0,5,0,1,0,0,0,1,0,0
1999,0,0,0,1,0,0,0,0,2,3,1,0,1,1,4,0,4,0,1,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,4,0,3,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,5,0,2,0,0,0,0,19,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0
2000,2,0,0,5,1,0,1,0,6,2,0,0,0,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,5,0,2,0,0,1,2,2,0,0,0,0,0,0,0,8,0,1,0,1,3,0,0,0,0,0,4,2,0,0,0,1,0,0,4,1,2,0,1,0,0,18,1,0,2,0,0,2,0,2,0,1,0,0,0,1,1,0
2001,0,0,1,4,2,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,0,7,0,1,0,0,4,0,0,0,0,0,0,0,6,0,0,3,0,0,2,3,0,0,0,0,0,0,1,9,0,0,2,2,2,0,1,0,0,0,7,2,0,0,0,0,0,0,4,0,1,0,1,0,0,16,0,0,0,0,0,0,0,2,1,2,0,1,0,3,1,0
2002,0,0,1,5,1,1,0,0,4,1,0,0,0,1,0,0,5,0,1,0,1,5,0,0,1,0,1,1,0,0,0,1,0,0,6,0,0,2,0,0,0,1,0,0,0,2,0,0,1,6,1,1,0,0,3,0,1,0,0,0,4,2,0,0,0,1,0,0,6,0,0,0,3,0,0,23,0,0,3,0,0,1,1,3,0,2,1,1,0,3,0,0
2003,0,1,1,7,3,0,0,0,12,1,1,0,1,4,2,0,1,0,1,0,0,5,0,0,1,0,2,2,0,0,0,0,1,0,4,0,1,0,0,0,1,2,0,0,0,0,0,0,2,11,0,0,0,0,4,1,1,0,0,0,7,1,0,0,1,1,1,0,2,0,1,2,3,1,0,20,0,0,10,0,1,2,0,6,1,3,0,0,0,1,3,0
2004,0,0,1,5,0,0,0,0,15,1,0,0,0,6,3,0,2,0,0,1,0,8,0,0,0,0,3,0,0,1,0,0,1,0,8,0,0,1,0,0,2,0,1,0,1,0,0,0,0,9,1,0,1,0,1,0,3,0,0,0,5,0,0,1,3,0,0,0,4,0,2,0,2,1,0,21,0,0,2,1,0,1,0,8,0,3,0,0,0,1,1,1
2005,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,2,1,10,0,0,1,0,0,0,0,0,0,0,1,0,8,0,1,2,1,0,0,0,0,0,0,2,0,11,0,7,6,0,0,0,2,0,2,0,0,0,8,3,0,0,0,2,0,0,3,0,4,0,2,0,0,23,0,0,0,0,0,0,0,5,0,1,2,1,1,1,1,0
2006,0,1,0,7,1,0,0,0,2,0,0,0,0,0,2,1,3,0,1,0,0,9,0,0,0,0,1,2,0,0,0,0,0,0,10,0,4,0,0,0,1,3,0,0,0,2,0,16,1,5,2,0,0,0,0,1,1,0,0,0,8,1,0,1,3,7,1,0,6,0,1,0,4,0,0,33,0,0,0,0,0,0,0,2,0,2,2,0,0,1,2,0
2007,0,0,1,7,3,0,1,0,1,0,0,0,0,0,2,0,5,0,1,1,1,3,0,0,2,0,1,1,0,2,0,1,1,0,13,0,0,0,1,0,0,2,0,0,0,0,2,21,0,6,1,1,0,0,0,0,0,0,0,0,9,0,0,1,4,4,0,0,2,0,0,0,1,0,0,31,0,0,1,0,0,0,0,4,0,2,0,1,1,2,0,0
2008,0,0,2,3,2,0,0,0,2,0,2,0,0,1,2,0,3,0,0,0,1,6,0,0,1,0,3,0,0,0,0,1,2,0,13,0,0,0,0,0,0,1,2,0,1,0,0,16,1,7,1,0,0,0,0,0,1,0,1,0,11,1,3,0,3,4,3,0,5,1,3,0,3,1,0,22,0,0,1,0,0,1,0,7,0,1,1,0,0,1,0,0
2009,1,0,1,3,2,0,2,0,2,0,0,4,0,1,0,0,3,0,0,1,0,6,0,0,1,0,1,0,0,2,0,0,0,0,19,1,1,0,0,0,0,1,1,0,0,0,0,14,1,1,1,0,0,0,0,0,0,0,1,0,13,1,1,1,1,6,2,0,1,0,0,0,1,0,0,28,0,0,0,0,0,0,0,9,0,4,0,1,0,2,1,0
2010,0,0,1,8,1,0,1,0,9,1,1,2,0,2,3,1,3,0,1,0,1,7,0,1,1,0,7,0,1,0,0,0,1,0,25,0,1,1,1,0,0,1,0,0,0,0,0,10,1,6,1,0,2,0,2,0,1,0,0,0,10,0,1,1,1,1,0,0,2,0,4,0,5,0,0,29,0,0,0,0,0,1,0,5,1,2,1,0,2,2,0,0
2011,0,0,1,4,3,0,0,0,1,0,0,5,1,0,3,0,7,0,0,1,0,7,0,0,0,1,4,0,0,1,0,1,1,0,17,0,2,0,1,0,0,2,0,0,0,1,0,10,0,2,0,0,0,0,0,0,1,0,2,0,16,1,1,1,1,9,1,1,3,0,5,0,1,1,0,31,0,0,0,0,0,1,0,10,1,3,1,0,0,1,2,0
2012,0,0,1,3,5,0,1,1,0,1,0,2,0,0,5,3,9,0,0,0,0,7,0,0,2,1,8,0,0,0,0,0,0,0,16,0,1,0,0,0,0,2,0,0,0,0,1,15,0,3,1,0,1,0,1,0,0,0,0,0,16,0,0,2,3,3,0,0,1,0,2,0,2,0,0,24,1,0,0,0,0,0,1,8,0,7,0,0,2,0,1,0
2013,0,0,0,2,1,0,2,0,3,0,2,1,0,0,3,0,7,0,0,0,2,8,0,0,4,0,5,0,0,0,1,0,0,0,22,0,0,0,1,0,1,3,1,1,0,3,3,8,0,5,1,0,2,1,0,0,0,0,0,0,10,0,1,1,1,4,1,0,1,0,1,0,2,0,0,34,0,0,0,0,0,0,0,8,2,4,1,0,1,1,2,0
2014,0,0,0,4,2,0,0,0,0,0,0,2,0,0,2,1,11,0,0,0,1,9,0,0,1,0,4,0,0,1,1,0,1,0,19,0,1,1,0,0,1,1,0,0,0,1,1,8,0,1,2,2,0,0,0,0,0,0,0,0,8,1,0,2,1,6,1,1,8,0,3,0,4,0,0,32,0,3,0,0,0,1,0,10,0,7,1,0,2,1,1,0
2015,0,0,4,2,1,0,2,0,4,3,2,3,0,1,0,1,9,1,0,0,1,6,0,0,2,0,3,0,0,0,1,0,0,0,15,0,3,0,0,0,1,6,0,1,0,0,1,11,0,0,0,0,1,0,2,0,3,0,1,0,10,1,0,1,3,6,0,0,6,0,0,0,3,0,0,27,0,4,0,0,0,2,0,7,0,4,0,0,0,1,2,2
2016,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,2,13,1,0,1,0,5,1,0,3,2,5,0,0,0,0,0,0,0,27,0,2,1,0,0,0,5,0,0,0,1,1,10,0,5,1,0,2,0,0,0,2,0,2,0,11,0,0,2,1,8,1,0,2,0,1,0,2,2,0,25,0,0,0,0,0,1,0,10,2,7,1,0,0,3,1,0
2017,0,0,1,1,6,0,0,0,2,1,0,2,0,0,1,1,12,1,1,1,0,7,1,0,4,1,2,0,0,1,0,1,1,0,24,0,3,0,0,0,0,4,0,0,0,1,0,10,0,5,1,0,1,0,1,0,0,1,0,0,5,0,3,0,1,4,0,0,1,0,2,0,4,1,6,29,0,0,0,0,0,0,0,9,0,8,1,0,0,0,1,0
2018,0,0,1,1,3,0,0,0,2,1,1,2,1,0,2,0,8,1,0,1,0,6,0,0,2,1,7,0,0,1,1,0,0,0,31,0,1,0,0,0,0,1,0,0,0,0,1,9,0,3,2,0,1,0,0,0,1,1,1,0,10,1,1,0,4,3,1,0,0,0,0,0,4,0,10,31,0,0,0,0,0,0,0,9,0,5,0,0,0,2,0,0
